Słowo angielskie,Tłumaczenie
ability,"zdolność, umiejętność"
abroad,"za granicą, za granicę"
absent,nieobecny
absolutely,"kompletnie, totalnie, całkowicie, absolutnie"
accent,akcent
accept,"akceptować, przyjąć"
acceptable,"do przyjęcia, akceptowalny"
access,"dojście, dojazd"
access,dostęp
accident,przypadek
accidentally,przypadkowo
accommodation,zakwaterowanie
accompany,towarzyszyć
accompany,"stanowić dodatek, być do czegoś dołączonym"
account,"konto, rachunek"
accountant,księgowy
accurate,"dokładny, precyzyjny"
accurately,"precyzyjnie, dokładnie"
ache,ból
achieve,osiągnąć
achievement,osiągnięcie
act,"grać, występować"
act,działać
act,zachowywać się
act,akt (część przedstawienia)
action,"akcja (w filmie, książce)"
active,aktywny
active,czynny (w gramatyce)
ad,"ogłoszenie, anons; reklama (pot.)"
add,"dodać, dopowiedzieć"
admire,podziwiać
admission,"wstęp, opłata za wstęp"
admit,przyznać się
admit,"przyznać (że), zgodzić się z czymś"
adult,dorosły; dla dorosłych
advanced,"zaawansowany, nowoczesny"
advantage,przewaga
advantage,"zaleta, korzyść"
advert,"ogłoszenie, anons; reklama"
advertise,"reklamować, promować"
advise,radzić
afford,móc sobie pozwolić na coś
against,"pod (np. wiatr, prąd)"
age,"epoka, wiek"
agency,agencja
ages,"całe wieki, bardzo długi czas, wieczność"
ahead,"z przodu, przed"
aim,"dążyć, planować, mieć na celu"
aim,cel
air conditioning,klimatyzacja
airline,linia lotnicza
airliner,samolot pasażerski
alarm,alarm
alcoholic,alkoholowy
alike,podobny
alive,żywy
all,"całkiem, kompletnie"
all,po; dla każdej ze stron (w sporcie)
allow,"zezwalać na, pozwalać"
along,"przed siebie, naprzód"
along,z (kimś wcześniej wspomnianym)
aloud,"głośno, na głos"
alphabet,alfabet
although,"chociaż, mimo że"
altogether,"w sumie, razem"
amazed,"zdumiony, zaskoczony"
amazing,niesamowity
amazingly,o dziwo; co było zaskoczeniem
amazingly,"niesamowicie, niezwykle, niesłychanie"
amount,kwota
amount,"ilość, liczba"
amusing,zabawny
ancient,starożytny
angel,anioł
angrily,ze złością
animated,animowany
animation,animacja
ankle,kostka
anniversary,rocznica
announce,"ogłaszać, zapowiadać"
announcement,"ogłoszenie, komunikat, zapowiedź"
annoy,"złościć, denerwować"
annoyed,"zezłoszczony, zły"
annoying,denerwujący
annual,"coroczny, doroczny"
ant,mrówka
antique,zabytkowy
antique,antyk
anxious,"zaniepokojony, niespokojny"
any,"choć trochę, ani trochę"
apart,"w odstępie, oddalony o"
apartment building,"budynek mieszkalny, blok"
apologize,przepraszać
apology,przeprosiny
appear,"pojawić się, ukazać się"
appear,wydawać się
appear,"wystąpić, pojawić się"
appearance,wygląd
apple pie,szarlotka
application,"podanie, aplikacja, wniosek, zgłoszenie"
apply,złożyć podanie; aplikować
approach,"podejść do, zbliżyć się do"
approve,zatwierdzić
approximately,"w przybliżeniu, mniej więcej, około"
architect,architekt
architecture,architektura (dyscyplina)
architecture,architektura
argue,"kłócić się, sprzeczać się"
argument,kłótnia
army,"armia, wojsko"
arrange,"zaaranżować, ustalić, zorganizować, załatwić"
arrangement,"ustalenie, plan"
arrest,aresztować
arrival,"przybycie, przyjazd, przylot"
arrivals,"przyloty, hala przylotów"
arrivals hall,hala przylotów
arrivals timetable,tablica przylotów
article,przedimek
article,artykuł
as,tak jak; jak
as,"podczas gdy, kiedy"
ashamed,zawstydzony
ask,prosić
asleep,śpiący (nieobudzony)
aspirin,aspiryna
assignment,zadanie
assistant,"asystent, asystentka"
athlete,"sportsmen, sportsmenka, sportowiec"
athletics,lekkoatletyka
atlas,atlas
attach,"dołączyć, doczepić, przymocować"
attack,atak
attack,"zaatakować, napaść"
attack,"atak, napaść"
