Słowo angielskie,Tłumaczenie
a few,"kilka, parę"
able,"zdolny, w stanie (coś zrobić); to be able: móc, potrafić"
absent-minded,roztargniony
accident,wypadek
across,przez
across,w poprzek
across,"po drugiej stronie, na drugą stronę"
activity,"czynność, zajęcie"
activity,aktywność
actor,aktor
actress,aktorka
actually,"w rzeczywistości, właściwie, tak naprawdę"
add,"dodawać, dokładać"
add,"dodawać, sumować"
adjective,przymiotnik
advanced,zaawansowany
adventure,przygoda
adverb,przysłówek
advertisement,"reklama, ogłoszenie"
advice,rada
aeroplane,samolot
afraid,przestraszony
after,później
afterwards,"potem, później"
against,"wbrew, przeciwko, przeciwnie do"
against,"o, do (oprzeć, przysunąć)"
aged,w wieku
ago,temu
agree,"zgadzać się, podzielać opinię"
air,powietrze (przestrzeń do podróży lotniczych)
air,powietrze
airport,lotnisko
alarm clock,budzik
album,album
album,"płyta, album muzyczny"
alcohol,alkohol
all right,"w porządku, dobry"
almost,prawie
alone,samotny
alone,sam
along,wzdłuż
already,już
ambulance,"ambulans, karetka"
among,"wśród, pośród"
angry,"zły, rozgniewany, pełen złości"
another,"kolejny, następny, jeszcze jeden, inny"
anyway,"tak czy siak, i tak, w każdym razie"
anywhere,gdziekolwiek; nigdzie
apartment,mieszkanie
apple juice,sok jabłkowy
apple tree,jabłoń
appointment,"umówione spotkanie, wizyta"
area,"teren, obszar"
armchair,fotel
around,około
around,"wokół, dookoła"
around,"po (miejscu, np. podróżować po kraju, chodzić po pokoju, itp.)"
arrive,"przybyć, przyjechać, dotrzeć"
art,sztuka
art,"plastyka, zajęcia plastyczne"
artist,"artystka, artysta"
as,"ponieważ, jako że"
as,"równie, tak samo"
ask,zaprosić
attractive,atrakcyjny
aunt,ciotka
autumn,jesień
available,dostępny
away,"z daleka, daleko"
away,"stąd, dalej, w określonej odległości (od danego miejsca)"
away,"nieobecny (poza domem, na urlopie, itp.)"
awesome,"rewelacyjny, kapitalny (AmE)"
baby,młode (zwierzę)
back,z powrotem
back,"tył, koniec, tylna część"
back,plecy; kręgosłup
badly,"bardzo, koniecznie"
badly,"dotkliwie, cieżko, silnie, mocno"
badly,"źle, kiepsko"
badminton,badminton
bake,piec
baker's,piekarnia
balloon,balon
barbecue,"grill, rożen; przyjęcie z jedzeniem z grilla"
baseball,bejsbol
bat,"kij (do bejsbola), rakietka (do tenisa stołowego)"
bathing suit,kostium kąpielowy
bathroom cabinet,szafka łazienkowa
bathtub,wanna
battery,"bateria, akumulator"
battery,bateria
be born,urodzić się
beach ball,piłka plażowa
beach umbrella,parasol plażowy
bean,fasola
bear,niedźwiedź
become,"stać się, zostać"
before,przed (w kolejności na trasie)
before,"wcześniej, przedtem"
begin,zaczynać; zaczynać się
beginner,początkujący
beginning,początek
believe,wierzyć
belong,należeć
belt,pasek (np. do spodni)
beside,"obok, przy"
better,lepiej
bicycle,rower
big brother,starszy brat
big sister,starsza siostra
bike,rower (potocznie)
bill,rachunek
biology,biologia
bit,kawałek
black,czerń
